Day fraction since midnight on 8/12/2019	UVA ()	Turb_settled ()	Turb_filter ()	UVT ()	Total Count settled ()	Bin 1 count settled ()	Bin 2 count settled ()	Bin 3 count settled ()	Bin 4 count settled ()	Bin 5 count settled ()	Bin 6 count settled ()	Total count filtered ()	Bin 1 count filtered  ()	Bin 2 count filtered ()	Bin 3 count filtered ()	Bin 4 count filtered ()	Bin 5 count filtered  ()	Bin 6 count filtered ()
Start																		
0.40825282	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
0.40831068	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
0.40836855	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
0.40842642	0.0839675	0.61018485	0.18803638	82.44895935	92	53	32	7	1	0	0	0.0839675	0	0	0	0	0	0
0.40848431	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.40854219	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.40860006	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.40865794	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.40871581	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.40877367	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.40883156	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.40888942	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.4089473	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.40900518	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.40906305	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.40912094	0.08359137	0.60487849	0.18745062	82.52038574	94	54	32	7	1	0	0	0.08359137	0	0	0	0	0	0
0.40917882	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.40923669	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.40929455	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.40935242	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.4094103	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.40946819	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.40952605	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.40958394	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.40964182	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.4096997	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.40975755	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.40981543	0.08328646	0.6114741	0.18680245	82.57833862	87	49	31	7	0	0	0	0.08328646	0	0	0	0	0	0
0.4098733	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.40993119	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.40998905	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.41004694	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.41010483	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.41016268	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.41022057	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.41027844	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.41033572	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.41039418	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.41045208	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.41050993	0.08302841	0.60864007	0.19437778	82.62741089	91	49	33	8	1	0	0	0.08302841	0	0	0	0	0	0
0.41056782	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.41062568	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.41068357	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.41074142	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.41079931	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.41085719	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.41091505	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.41097293	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.41103082	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.41108869	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.41114656	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.41120444	0.08330905	0.61700481	0.18693885	82.57404327	94	53	32	9	0	0	0	0.08330905	0	0	0	0	0	0
0.4112623	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41132018	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41137805	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41143594	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41149381	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41155168	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41160957	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41166745	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41172531	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41178319	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41184107	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41189893	0.08381336	0.62478769	0.18642035	82.47822571	88	49	32	6	1	0	0	0.08381336	0	0	0	0	0	0
0.41195681	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.4120147	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.41207257	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.41213044	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.41218831	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.41224618	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.41230405	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.41236193	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.41241981	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.4124777	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.41253556	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.41259343	0.08367001	0.63198131	0.1845881	82.50544739	87	50	30	7	0	0	0	0.08367001	0	0	0	0	0	0
0.41265131	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
0.41270918	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
0.41276707	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
0.41282494	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
0.41288281	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
0.41294068	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
0.41299857	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
